p,Analytic lower bound,Analytic upper bound
2,3331,16383
3,1414,8191
5,672,4095
7,449,2729
11,279,1637
13,237,1364
17,182,1023
19,165,909
23,137,743
29,111,584
31,106,545
37,90,454
41,82,408
43,79,389
47,73,355
53,66,314
59,61,281
61,58,272
67,55,247
71,52,233
73,50,226
79,47,209
83,46,198
89,43,185
97,39,169
101,37,162
103,37,159
107,36,153
109,35,150
113,34,145
127,31,129
131,30,125
137,30,119
139,30,117
149,29,109
151,28,108
157,27,104
163,25,100
167,25,97
173,24,94
179,24,91
181,24,90
191,23,85
193,23,84
197,23,82
199,22,81
211,21,77
223,21,72
227,20,71
229,20,70
233,19,69
239,19,67
241,19,67
251,18,64
257,18,63
263,18,61
269,17,60
271,17,59
277,17,58
281,16,57
283,16,57
293,16,55
307,16,52
311,15,51
313,15,51
317,15,50
331,15,48
337,15,47
347,15,46
349,14,46
353,14,45
359,14,44
367,14,43
373,14,43
379,14,42
383,13,41
389,13,41
397,13,40
401,12,39
409,12,39
419,12,38
421,12,38
431,12,37
433,12,36
439,12,36
443,11,36
449,11,35
457,11,34
461,11,34
463,11,34
467,11,34
479,11,33
487,11,32
491,11,32
499,11,31
503,11,31
509,11,31
521,11,30
523,11,30
541,10,29
547,10,29
557,10,28
563,10,28
569,9,27
571,9,27
577,9,27
587,9,26
593,9,26
599,9,26
601,9,26
607,9,26
613,9,25
617,9,25
619,9,25
631,9,25
641,9,24
643,9,24
647,9,24
653,9,24
659,9,23
661,9,23
673,9,23
677,9,23
683,9,23
691,9,22
701,9,22
709,9,22
719,8,21
727,8,21
733,8,21
739,8,21
743,8,21
751,8,20
757,8,20
761,8,20
769,8,20
773,8,20
787,8,19
797,8,19
809,8,19
811,8,19
821,8,18
823,8,18
827,8,18
829,8,18
839,8,18
853,8,18
857,8,18
859,8,18
863,7,18
877,7,17
881,7,17
883,7,17
887,7,17
907,7,17
911,7,17
919,7,16
929,7,16
937,7,16
941,7,16
947,7,16
953,7,16
967,6,15
971,6,15
977,6,15
983,6,15
991,6,15
997,6,15
1009,6,15
1013,6,15
1019,6,15
1021,6,15
1031,6,14
1033,6,14
1039,6,14
1049,6,14
1051,6,14
1061,6,14
1063,6,14
1069,6,14
1087,6,14
1091,6,14
1093,6,14
1097,6,13
1103,6,13
1109,6,13
1117,6,13
1123,6,13
1129,6,13
1151,6,13
1153,6,13
1163,6,13
1171,6,13
1181,6,12
1187,6,12
1193,6,12
1201,6,12
1213,6,12
1217,6,12
1223,6,12
1229,6,12
1231,6,12
1237,6,12
1249,6,12
1259,6,12
1277,5,11
1279,5,11
1283,5,11
1289,5,11
1291,5,11
1297,5,11
1301,5,11
1303,5,11
1307,5,11
1319,5,11
1321,5,11
1327,5,11
1361,5,11
1367,5,10
1373,5,10
1381,5,10
1399,5,10
1409,5,10
1423,5,10
1427,5,10
1429,5,10
1433,5,10
1439,5,10
1447,5,10
1451,5,10
1453,5,10
1459,5,10
1471,5,10
1481,5,10
1483,5,10
1487,5,10
1489,5,10
1493,4,9
1499,4,9
1511,4,9
1523,4,9
1531,4,9
1543,4,9
1549,4,9
1553,4,9
1559,4,9
1567,4,9
1571,4,9
1579,4,9
1583,4,9
1597,4,9
1601,4,9
1607,4,9
1609,4,9
1613,4,9
1619,4,9
1621,4,9
1627,4,9
1637,4,9
1657,4,8
1663,4,8
1667,4,8
1669,4,8
1693,4,8
1697,4,8
1699,4,8
1709,4,8
1721,4,8
1723,4,8
1733,4,8
1741,4,8
1747,4,8
1753,4,8
1759,4,8
1777,4,8
1783,4,8
1787,4,8
1789,4,8
1801,4,8
1811,4,8
1823,4,7
1831,4,7
1847,4,7
1861,4,7
1867,4,7
1871,4,7
1873,4,7
1877,4,7
1879,4,7
1889,4,7
1901,4,7
1907,4,7
1913,4,7
1931,4,7
1933,4,7
1949,4,7
1951,4,7
1973,4,7
1979,4,7
1987,4,7
1993,4,7
1997,4,7
1999,4,7
2003,4,7
2011,4,7
2017,4,7
2027,4,7
2029,4,7
2039,4,7
2053,4,6
2063,4,6
2069,4,6
2081,4,6
2083,4,6
2087,4,6
2089,4,6
2099,4,6
2111,4,6
2113,4,6
2129,4,6
2131,4,6
2137,4,6
2141,4,6
2143,4,6
2153,4,6
2161,4,6
2179,4,6
2203,4,6
2207,4,6
2213,4,6
2221,4,6
2237,4,6
2239,4,6
2243,4,6
2251,4,6
2267,4,6
2269,4,6
2273,4,6
2281,4,6
2287,4,6
2293,4,6
2297,4,6
2309,4,6
2311,4,6
2333,4,6
2339,4,6
2341,3,6
2347,3,5
2351,3,5
2357,3,5
2371,3,5
2377,3,5
2381,3,5
2383,3,5
2389,3,5
2393,3,5
2399,3,5
2411,3,5
2417,3,5
2423,3,5
2437,3,5
2441,3,5
2447,3,5
2459,3,5
2467,3,5
2473,3,5
2477,3,5
2503,3,5
2521,3,5
2531,3,5
2539,3,5
2543,3,5
2549,3,5
2551,3,5
2557,3,5
2579,3,5
2591,3,5
2593,3,5
2609,3,5
2617,3,5
2621,3,5
2633,3,5
2647,3,5
2657,3,5
2659,3,5
2663,3,5
2671,3,5
2677,3,5
2683,3,5
2687,3,5
2689,3,5
2693,3,5
2699,3,5
2707,3,5
2711,3,5
2713,3,5
2719,3,5
2729,3,5
2731,3,5
2741,3,4
2749,3,4
2753,3,4
2767,3,4
2777,3,4
2789,3,4
2791,3,4
2797,3,4
2801,3,4
2803,3,4
2819,3,4
2833,3,4
2837,3,4
2843,3,4
2851,3,4
2857,3,4
2861,3,4
2879,3,4
2887,3,4
2897,3,4
2903,3,4
2909,3,4
2917,3,4
2927,3,4
2939,3,4
2953,3,4
2957,3,4
2963,3,4
2969,3,4
2971,3,4
2999,3,4
3001,3,4
3011,3,4
3019,3,4
3023,3,4
3037,3,4
3041,3,4
3049,3,4
3061,3,4
3067,3,4
3079,3,4
3083,3,4
3089,3,4
3109,3,4
3119,3,4
3121,3,4
3137,3,4
3163,3,4
3167,3,4
3169,3,4
3181,3,4
3187,3,4
3191,3,4
3203,3,4
3209,3,4
3217,3,4
3221,3,4
3229,3,4
3251,3,4
3253,3,4
3257,3,4
3259,3,4
3271,3,4
3299,2,3
3301,2,3
3307,2,3
3313,2,3
3319,2,3
3323,2,3
3329,2,3
3331,2,3
3343,2,3
3347,2,3
3359,2,3
3361,2,3
3371,2,3
3373,2,3
3389,2,3
3391,2,3
3407,2,3
3413,2,3
3433,2,3
3449,2,3
3457,2,3
3461,2,3
3463,2,3
3467,2,3
3469,2,3
3491,2,3
3499,2,3
3511,2,3
3517,2,3
3527,2,3
3529,2,3
3533,2,3
3539,2,3
3541,2,3
3547,2,3
3557,2,3
3559,2,3
3571,2,3
3581,2,3
3583,2,3
3593,2,3
3607,2,3
3613,2,3
3617,2,3
3623,2,3
3631,2,3
3637,2,3
3643,2,3
3659,2,3
3671,2,3
3673,2,3
3677,2,3
3691,2,3
3697,2,3
3701,2,3
3709,2,3
3719,2,3
3727,2,3
3733,2,3
3739,2,3
3761,2,3
3767,2,3
3769,2,3
3779,2,3
3793,2,3
3797,2,3
3803,2,3
3821,2,3
3823,2,3
3833,2,3
3847,2,3
3851,2,3
3853,2,3
3863,2,3
3877,2,3
3881,2,3
3889,2,3
3907,2,3
3911,2,3
3917,2,3
